Gridded_UID,Desktop_UID,marxancode,section,speciesgroup,species,featuretype,attributetype,,final_target_low,final_target_med,final_target_high,Issue,Tracked,species name,postremoval
eco_birds_ancientmurrelet_colonies_d_ri1,eco_birds_ancientmurrelet_colonies_d_ri1,5040100,eco,birds,ancientmurrelet,colonies,ri1,Ancient Murrelet ri1,40,50,60,,,Ancient Murrelet,no
eco_birds_ancientmurrelet_colonies_d_ri2,eco_birds_ancientmurrelet_colonies_d_ri2,5040200,eco,birds,ancientmurrelet,colonies,ri2,Ancient Murrelet ri2,40,50,60,,,Ancient Murrelet,no
eco_birds_ancientmurrelet_colonies_d_ri3,eco_birds_ancientmurrelet_colonies_d_ri3,5040300,eco,birds,ancientmurrelet,colonies,ri3,Ancient Murrelet ri3,40,50,60,,,Ancient Murrelet,no
eco_birds_blackoystercatcher_nestingsites_d,eco_birds_blackoystercatcher_nestingsites_d,5140200,eco,birds,blackoystercatcher,nestingsites,,Black Oystercatcher,20,30,40,,,Black Oystercatcher,no
eco_birds_brandtscormorant_colonies_d,eco_birds_brandtscormorant_colonies_d,"5090100, 300",eco,birds,brandtscormorant,colonies,,Brandt's cormorant,40,50,60,,,Brandt's cormorant,yes
eco_birds_brandtscormorant_colonies_d_ri1,eco_birds_brandtscormorant_colonies_d_ri1,5090100,eco,birds,brandtscormorant,colonies,ri1,Brandt's cormorant ri1,40,50,60,,,Brandt's cormorant,no
eco_birds_brandtscormorant_colonies_d_ri3,eco_birds_brandtscormorant_colonies_d_ri3,5090300,eco,birds,brandtscormorant,colonies,ri2,Brandt's cormorant ri2,40,50,60,,,Brandt's cormorant,no
eco_birds_cassinsauklet_colonies_d,eco_birds_cassinsauklet_colonies_d,5050100-300,eco,birds,cassinsauklet,colonies,,Cassin's Auklet,40,50,60,,,Cassin's Auklet,yes
eco_birds_cassinsauklet_colonies_d_ri1,eco_birds_cassinsauklet_colonies_d_ri1,5050100,eco,birds,cassinsauklet,colonies,ri1,Cassin's Auklet ri1,40,50,60,,,Cassin's Auklet,no
eco_birds_cassinsauklet_colonies_d_ri2,eco_birds_cassinsauklet_colonies_d_ri2,5050200,eco,birds,cassinsauklet,colonies,ri2,Cassin's Auklet ri2,40,50,60,,,Cassin's Auklet,no
eco_birds_cassinsauklet_colonies_d_ri3,eco_birds_cassinsauklet_colonies_d_ri3,5050300,eco,birds,cassinsauklet,colonies,ri3,Cassin's Auklet ri3,40,50,60,,,Cassin's Auklet,no
eco_birds_commonmurre_colonies_d,eco_birds_commonmurre_colonies_d,"5060100, 300",eco,birds,commonmurre,colonies,,Common Murre,40,50,60,,,Common Murre,yes
eco_birds_commonmurre_colonies_d_ri1,eco_birds_commonmurre_colonies_d_ri1,5060100,eco,birds,commonmurre,colonies,ri1,Common Murre ri1,40,50,60,,,Common Murre,no
eco_birds_commonmurre_colonies_d_ri2,eco_birds_commonmurre_colonies_d_ri3,5060300,eco,birds,commonmurre,colonies,ri3,Common Murre ri3,40,50,60,,,Common Murre,no
eco_birds_cormorant_density_m,eco_birds_cormorant_density_m,5300100,eco,birds,cormorant,density,,Double-crested cormorant,10,15,20,,,Double-crested cormorant,no
eco_birds_cormorant_densitywinter_m,eco_birds_cormorant_densitywinter_m,5300200,eco,birds,cormorant,densitywinter,,Unspecified Cormorant  ,10,15,20,,,Unspecified Cormorant  ,no
eco_birds_gooseswan_density_m,eco_birds_gooseswan_density_m,5270100,eco,birds,gooseswan,density,,Goose/Swan,10,15,20,,,Goose/Swan,no
eco_birds_gooseswan_densitywinter_m,eco_birds_gooseswan_densitywinter_m,5270200,eco,birds,gooseswan,densitywinter,,Goose/Swan,10,15,20,,,Goose/Swan,no
eco_birds_gull_density_m,eco_birds_gull_density_m,5260100,eco,birds,gull,density,,Gulls,10,15,20,,,Gulls,no
eco_birds_gull_densitywinter_m,eco_birds_gull_densitywinter_m,5260200,eco,birds,gull,densitywinter,,Gulls,10,15,20,,,Gulls,no
eco_birds_heron_nestsforaging_m,eco_birds_heron_nestsforaging_m,5160100,eco,birds,heron,nestsforaging,,Great Blue Heron,10,15,20,,,Great Blue Heron,no
eco_birds_heron_densitywinter_m,eco_birds_heron_densitywinter_m,5350100,eco,birds,heron,densitywinter,,Great Blue Heron,10,15,20,,,Great Blue Heron,no
eco_birds_hornedpuffin_colonies_d,eco_birds_hornedpuffin_colonies_d,"5020300, 300",eco,birds,hornedpuffin,colonies,,Horned Puffin,40,50,60,,,Horned Puffin,no
eco_birds_hornedpuffin_colonies_d_ri3,eco_birds_hornedpuffin_colonies_d_ri3,5020300,eco,birds,hornedpuffin,colonies,,Horned Puffin,40,50,60,,,Horned Puffin,no
eco_birds_loongrebe_density_d,eco_birds_loongrebe_density_d,5290100,eco,birds,loongrebe,density,,Loon/Grebe,10,15,20,,,Loon/Grebe,no
eco_birds_loongrebe_densitywinter_d,eco_birds_loongrebe_densitywinter_d,5290200,eco,birds,loongrebe,densitywinter,,Loon/Grebe,10,15,20,,,Loon/Grebe,no
eco_birds_mamu_density_d,eco_birds_mamu_density_d,5310100,eco,birds,mamu,density,,Marbled Murrelet,10,15,20,,,Marbled Murrelet,no
eco_birds_mamu_densitywinter_d,eco_birds_mamu_densitywinter_d,5310200,eco,birds,mamu,densitywinter,,Marbled Murrelet,10,15,20,,,Marbled Murrelet,no
eco_birds_murrelgalcid_density_d,eco_birds_murrelgalcid_density_d,5250100,eco,birds,murrelgalcid,density,,Murres/Large Alcids,10,15,20,,,Murres/Large Alcids,no
eco_birds_murrelgalcid_densitywinter_d,eco_birds_murrelgalcid_densitywinter_d,5250200,eco,birds,murrelgalcid,densitywinter,,Murres/Large Alcids,10,15,20,,,Murres/Large Alcids,no
eco_birds_pelagiccormorant_colonies_d,eco_birds_pelagiccormorant_colonies_d,5110100-300,eco,birds,pelagiccormorant,colonies,,Pelagic cormorant,20,30,40,,,Pelagic cormorant,yes
eco_birds_pelagiccormorant_colonies_d_ri1,eco_birds_pelagiccormorant_colonies_d_ri1,5110100,eco,birds,pelagiccormorant,colonies,ri1,Pelagic cormorant ri1,20,30,40,,,Pelagic cormorant,no
eco_birds_pelagiccormorant_colonies_d_ri2,eco_birds_pelagiccormorant_colonies_d_ri2,5110200,eco,birds,pelagiccormorant,colonies,ri2,Pelagic cormorant ri2,20,30,40,,,Pelagic cormorant,no
eco_birds_pelagiccormorant_colonies_d_ri3,eco_birds_pelagiccormorant_colonies_d_ri3,5110300,eco,birds,pelagiccormorant,colonies,ri3,Pelagic cormorant ri3,20,30,40,,,Pelagic cormorant,no
eco_birds_petrelphalarope_density_d,eco_birds_petrelphalarope_density_d,5220100,eco,birds,petrelphalarope,density,,Storm Petrel,10,15,20,,,Storm Petrel,no
eco_birds_pigeonguillemot_colonies_d,eco_birds_pigeonguillemot_colonies_d,"5120100, 200",eco,birds,pigeonguillemot,colonies,,Pigeon Guillemot,20,30,40,,,Pigeon Guillemot,yes
eco_birds_pigeonguillemot_colonies_d_ri1,eco_birds_pigeonguillemot_colonies_d_ri1,5120100,eco,birds,pigeonguillemot,colonies,ri1,Pigeon Guillemot ri1,20,30,40,,,Pigeon Guillemot,no
eco_birds_pigeonguillemot_colonies_d_ri2,eco_birds_pigeonguillemot_colonies_d_ri2,5120200,eco,birds,pigeonguillemot,colonies,ri2,Pigeon Guillemot ri2,20,30,40,,,Pigeon Guillemot,no
eco_birds_pigeonguillemot_density_m,eco_birds_pigeonguillemot_density_m,5320100,eco,birds,pigeonguillemot,density,,Pigeon Guillemot,10,15,20,,,Pigeon Guillemot,no
eco_birds_puffin_density_d,eco_birds_puffin_density_d,5230100,eco,birds,puffin,density,,Puffins,10,15,20,,,Puffins,no
eco_birds_rhinocerosauklet_colonies_d,eco_birds_rhinocerosauklet_colonies_d,5070100-300,eco,birds,rhinocerosauklet,colonies,,Rhinoceros Auklet,20,30,40,,,Rhinoceros Auklet,yes
eco_birds_rhinocerosauklet_colonies_d_ri1,eco_birds_rhinocerosauklet_colonies_d_ri1,5070100,eco,birds,rhinocerosauklet,colonies,ri1,Rhinoceros Auklet ri1,20,30,40,,,Rhinoceros Auklet,no
eco_birds_rhinocerosauklet_colonies_d_ri2,eco_birds_rhinocerosauklet_colonies_d_ri2,5070200,eco,birds,rhinocerosauklet,colonies,ri2,Rhinoceros Auklet ri2,20,30,40,,,Rhinoceros Auklet,no
eco_birds_rhinocerosauklet_colonies_d_ri3,eco_birds_rhinocerosauklet_colonies_d_ri3,5070300,eco,birds,rhinocerosauklet,colonies,ri3,Rhinoceros Auklet ri3,20,30,40,,,Rhinoceros Auklet,no
eco_birds_seabirds_ia_d,eco_birds_seabirds_ia_d,5170100,eco,birds,seabirds,ia,,Seabirds^,0,0,0,,^,Seabirds,no
eco_birds_seaduck_keysites_d,eco_birds_seaduck_keysites_d,5180100,eco,birds,seaduck,keysites,,"Sea duck, unspecified",20,30,40,,,"Sea duck, unspecified",no
eco_birds_seaduck_densitymoulting_d,eco_birds_seaduck_densitymoulting_d,5280100,eco,birds,seaduck,densitymoulting,,"Sea duck, unspecified",10,15,20,,,"Sea duck, unspecified",no
eco_birds_seaduck_densitystaging_d,eco_birds_seaduck_densitystaging_d,5280200,eco,birds,seaduck,densitystaging,,"Sea duck, unspecified",10,15,20,,,"Sea duck, unspecified",no
eco_birds_seaduck_densitywinter_d,eco_birds_seaduck_densitywinter_d,5280300,eco,birds,seaduck,densitywinter,,"Sea duck, unspecified",10,15,20,,,"Sea duck, unspecified",no
eco_birds_shearwaterfulmar_density_d,eco_birds_shearwaterfulmar_density_d,5210100,eco,birds,shearwaterfulmar,density,,Shearwaters and Fulmars,10,15,20,,,Shearwaters and Fulmars,no
eco_birds_shorebirdrock_density_d,eco_birds_shorebirdrock_density_d,5330100,eco,birds,shorebirdrock,density,,Shorebird (rocky),10,15,20,,,Shorebird (rocky),no
eco_birds_shorebirdrock_stagingsites_d,eco_birds_shorebirdrock_stagingsites_d,5130100,eco,birds,shorebirdrock,stagingsites,,Shorebird (rocky),10,15,20,,,Shorebird (rocky),no
eco_birds_shorebirdsand_density_d,eco_birds_shorebirdsand_density_d,5340100,eco,birds,shorebirdsand,density,,Shorebird (sand)^,0,0,0,,^,Shorebird (sand),no
eco_birds_shorebirdsand_keysites_d,eco_birds_shorebirdsand_keysites_d,5150100,eco,birds,shorebirdsand,keysites,,Shorebird (sand),40,50,60,,,Shorebird (sand),no
eco_birds_smallalcid_density_d,eco_birds_smallalcid_density_d,5240100,eco,birds,smallalcid,density,,Small Alcids,10,15,20,,,Small Alcids,no
eco_birds_smallalcid_densitywinter_d,eco_birds_smallalcid_densitywinter_d,5240200,eco,birds,smallalcid,densitywinter,,Small Alcids,10,15,20,,,Small Alcids,no
eco_birds_stormpetrel_colonies_d,eco_birds_stormpetrel_colonies_d,5010100-300,eco,birds,stormpetrel,colonies,,Storm Petrel,20,30,40,,,Storm Petrel,yes
eco_birds_stormpetrel_colonies_d_ri1,eco_birds_stormpetrel_colonies_d_ri1,5010100,eco,birds,stormpetrel,colonies,ri1,Storm Petrel ri1,20,30,40,,,Storm Petrel,no
eco_birds_stormpetrel_colonies_d_ri2,eco_birds_stormpetrel_colonies_d_ri2,5010200,eco,birds,stormpetrel,colonies,ri2,Storm Petrel ri2,20,30,40,,,Storm Petrel,no
eco_birds_stormpetrel_colonies_d_ri3,eco_birds_stormpetrel_colonies_d_ri3,5010300,eco,birds,stormpetrel,colonies,ri3,Storm Petrel ri3,20,30,40,,,Storm Petrel,no
eco_birds_thickbilledmurre_colonies_d,eco_birds_thickbilledmurre_colonies_d,5080300,eco,birds,thickbilledmurre,colonies,,Thick-billed Murre,40,50,60,,,Thick-billed Murre,no
eco_birds_tuftedpuffin_colonies_d,eco_birds_tuftedpuffin_colonies_d,5030100-300,eco,birds,tuftedpuffin,colonies,,Tufted Puffin,40,50,60,,,Tufted Puffin,yes
eco_birds_tuftedpuffin_colonies_d_ri1,eco_birds_tuftedpuffin_colonies_d_ri1,5030100,eco,birds,tuftedpuffin,colonies,ri1,Tufted Puffin ri1,40,50,60,,,Tufted Puffin,no
eco_birds_tuftedpuffin_colonies_d_ri2,eco_birds_tuftedpuffin_colonies_d_ri2,5030200,eco,birds,tuftedpuffin,colonies,ri2,Tufted Puffin ri2,40,50,60,,,Tufted Puffin,no
eco_birds_tuftedpuffin_colonies_d_ri3,eco_birds_tuftedpuffin_colonies_d_ri3,5030300,eco,birds,tuftedpuffin,colonies,ri3,Tufted Puffin ri3,40,50,60,,,Tufted Puffin,no
eco_coarse_biophysicalunits_polygons_d,eco_coarse_biophysicalunits_polygons_d,3040100-3040500,eco,coarse,biophysicalunits,polygons,,Biophysical Units,10,20,30,,,Biophysical Units,yes
eco_coarse_biophysicalunits_polygons_d_dogfishbank,eco_coarse_biophysicalunits_polygons_d_dogfishbank,3040100,eco,coarse,biophysicalunits,polygons,dogfishbank,Biophysical Units dogfishbank,10,20,30,,,Biophysical Units,no
eco_coarse_biophysicalunits_polygons_d_otherbank,eco_coarse_biophysicalunits_polygons_d_otherbank,3040200,eco,coarse,biophysicalunits,polygons,otherbank,Biophysical Units otherbank,10,20,30,,,Biophysical Units,no
eco_coarse_biophysicalunits_polygons_d_shelf,eco_coarse_biophysicalunits_polygons_d_shelf,3040300,eco,coarse,biophysicalunits,polygons,shelf,Biophysical Units shelf,10,20,30,,,Biophysical Units,no
eco_coarse_biophysicalunits_polygons_d_slope,eco_coarse_biophysicalunits_polygons_d_slope,3040400,eco,coarse,biophysicalunits,polygons,slope,Biophysical Units slope,10,20,30,,,Biophysical Units,no
eco_coarse_biophysicalunits_polygons_d_trough,eco_coarse_biophysicalunits_polygons_d_trough,3040500,eco,coarse,biophysicalunits,polygons,trough,Biophysical Units trough,10,20,30,,,Biophysical Units,no
eco_coarse_bottompatches_polygons_d,eco_coarse_bottompatches_polygons_d,3050100-3050300,eco,coarse,bottompatches,polygons,,Bottom Patches,10,20,30,,,Bottom Patches,yes
eco_coarse_bottompatches_polygons_d_hard,eco_coarse_bottompatches_polygons_d_btype11,3050100,eco,coarse,bottompatches,polygons,hard,Bottom Patches hard,10,20,30,,,Bottom Patches,no
eco_coarse_bottompatches_polygons_d_mixed,eco_coarse_bottompatches_polygons_d_btype12,3050200,eco,coarse,bottompatches,polygons,mixed,Bottom Patches mixed,10,20,30,,,Bottom Patches,no
eco_coarse_bottompatches_polygons_d_soft,eco_coarse_bottompatches_polygons_d_btype13,3050300,eco,coarse,bottompatches,polygons,soft,Bottom Patches soft,10,20,30,,,Bottom Patches,no
eco_coarse_coastalclasses_lines_d,eco_coarse_coastalclasses_lines_d,3090100-3091400,eco,coarse,coastalclasses,lines,,Coastal Classes,10,20,30,,,Coastal Classes,yes
eco_coarse_coastalclasses_lines_d_channel,eco_coarse_coastalclasses_lines_d_channel,3090100,eco,coarse,coastalclasses,lines,channel,Coastal Classes channel,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_estuary,eco_coarse_coastalclasses_lines_d_estuaryorganicsfines,3090200,eco,coarse,coastalclasses,lines,estuary,Coastal Classes estuary,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_gravelbeach,eco_coarse_coastalclasses_lines_d_gravelbeach,3090300,eco,coarse,coastalclasses,lines,gravelbeach,Coastal Classes gravelbeach,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_gravelflat,eco_coarse_coastalclasses_lines_d_gravelflat,3090400,eco,coarse,coastalclasses,lines,gravelflat,Coastal Classes gravelflat,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_manmade,eco_coarse_coastalclasses_lines_d_manmade,3090500,eco,coarse,coastalclasses,lines,manmade,Coastal Classes manmade,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_mudflat,eco_coarse_coastalclasses_lines_d_mudflat,3090600,eco,coarse,coastalclasses,lines,mudflat,Coastal Classes mudflat,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_rockcliff,eco_coarse_coastalclasses_lines_d_rockcliff,3090700,eco,coarse,coastalclasses,lines,rockcliff,Coastal Classes rockcliff,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_rockplatform,eco_coarse_coastalclasses_lines_d_rockplatform,3090800,eco,coarse,coastalclasses,lines,rockplatform,Coastal Classes rockplatform,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_rockramp,eco_coarse_coastalclasses_lines_d_rockramp,3090900,eco,coarse,coastalclasses,lines,rockramp,Coastal Classes rockramp,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_sandgravelbeach,eco_coarse_coastalclasses_lines_d_sandandgravelbeach,3091000,eco,coarse,coastalclasses,lines,sandgravelbeach,Coastal Classes sandgravelbeach,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_sandgravelflatfan,eco_coarse_coastalclasses_lines_d_sandandgravelflatorfan,3091100,eco,coarse,coastalclasses,lines,sandgravelflatfan,Coastal Classes sandgravelflatfan,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_sandbeach,eco_coarse_coastalclasses_lines_d_sandbeach,3091200,eco,coarse,coastalclasses,lines,sandbeach,Coastal Classes sandbeach,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_sandflat,eco_coarse_coastalclasses_lines_d_sandflat,3091300,eco,coarse,coastalclasses,lines,sandflat,Coastal Classes sandflat,10,20,30,,,Coastal Classes,no
eco_coarse_coastalclasses_lines_d_undefined,eco_coarse_coastalclasses_lines_d_undefined,3091400,eco,coarse,coastalclasses,lines,undefined,Coastal Classes undefined,10,20,30,,,Coastal Classes,no
eco_coarse_ebsas_polygons_d,eco_coarse_ebsas_polygons_d,3100100-3102000 (alphabetical by name),eco,coarse,ebsas,polygons,,EBSAS,10,20,30,,,EBSAS,yes
eco_coarse_ebsas_polygons_d_bellabellanearshore,eco_coarse_ebsas_polygons_d_bellabellanearshore,3100100,eco,coarse,ebsas,polygons,bellabellanearshore,EBSAS bellabellanearshore,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_brookspeninsula,eco_coarse_ebsas_polygons_d_brookspeninsula,3100200,eco,coarse,ebsas,polygons,brookspeninsula,EBSAS brookspeninsula,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_capestjames,eco_coarse_ebsas_polygons_d_capestjames,3100300,eco,coarse,ebsas,polygons,capestjames,EBSAS capestjames,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_centralmainland,eco_coarse_ebsas_polygons_d_centralmainland,3100400,eco,coarse,ebsas,polygons,centralmainland,EBSAS centralmainland,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_chathamsound,eco_coarse_ebsas_polygons_d_chathamsound,3100500,eco,coarse,ebsas,polygons,chathamsound,EBSAS chathamsound,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_dogfishbanks,eco_coarse_ebsas_polygons_d_dogfishbanks,3100600,eco,coarse,ebsas,polygons,dogfishbanks,EBSAS dogfishbanks,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_haidagwaiinearshore,eco_coarse_ebsas_polygons_d_haidagwaiinearshore,3100700,eco,coarse,ebsas,polygons,haidagwaiinearshore,EBSAS haidagwaiinearshore,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_hecatestrait,eco_coarse_ebsas_polygons_d_hecatestrait,3100800,eco,coarse,ebsas,polygons,hecatestrait,EBSAS hecatestrait,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_learmonthbank,eco_coarse_ebsas_polygons_d_learmonthbank,3100900,eco,coarse,ebsas,polygons,learmonthbank,EBSAS learmonthbank,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_mcintyrebay,eco_coarse_ebsas_polygons_d_mcintyrebay,3101000,eco,coarse,ebsas,polygons,mcintyrebay,EBSAS mcintyrebay,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_northislandstraits,eco_coarse_ebsas_polygons_d_northislandstraits,3101100,eco,coarse,ebsas,polygons,northislandstraits,EBSAS northislandstraits,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_scottislands,eco_coarse_ebsas_polygons_d_scottislands,3101200,eco,coarse,ebsas,polygons,scottislands,EBSAS scottislands,10,20,30,,,EBSAS,no
eco_coarse_ebsas_polygons_d_shelfbreak,eco_coarse_ebsas_polygons_d_shelfbreak,3101300,eco,coarse,ebsas,polygons,shelfbreak,EBSAS shelfbreak,10,20,30,,,EBSAS,no
eco_coarse_ecosections_polygons_d,eco_coarse_ecosections_polygons_d,3060100-3060800,eco,coarse,ecosections,polygons,,Ecosections,10,20,30,,,Ecosections,yes
eco_coarse_ecosections_polygons_d_js,eco_coarse_ecosections_polygons_d_johnstonestrait,3060100,eco,coarse,ecosections,polygons,js,Ecosections js,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_cs,eco_coarse_ecosections_polygons_d_continentalslope,3060200,eco,coarse,ecosections,polygons,cs,Ecosections cs,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_de,eco_coarse_ecosections_polygons_d_dixonentrance,3060300,eco,coarse,ecosections,polygons,de,Ecosections de,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_qcst,eco_coarse_ecosections_polygons_d_queencharlottestrait,3060400,eco,coarse,ecosections,polygons,qcst,Ecosections qcst,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_ncf,eco_coarse_ecosections_polygons_d_northcoastfjords,3060500,eco,coarse,ecosections,polygons,ncf,Ecosections ncf,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_hs,eco_coarse_ecosections_polygons_d_hecatestrait,3060600,eco,coarse,ecosections,polygons,hs,Ecosections hs,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_qcso,eco_coarse_ecosections_polygons_d_queencharlottesound,3060700,eco,coarse,ecosections,polygons,qcso,Ecosections qcso,10,20,30,,,Ecosections,no
eco_coarse_ecosections_polygons_d_vis,eco_coarse_ecosections_polygons_d_vancouverislandshelf,3060800,eco,coarse,ecosections,polygons,vis,Ecosections vis,10,20,30,,,Ecosections,no
eco_coarse_geomorphicunits_polygons_d,eco_coarse_geomorphicunits_polygons_d,3030100-3031400,eco,coarse,geomorphicunits,polygons,,Geomorphic Units,10,20,30,,,Geomorphic Units,yes
eco_coarse_geomorphicunits_polygons_d_fjordcrest,eco_coarse_geomorphicunits_polygons_d_fjordcrest,3030100,eco,coarse,geomorphicunits,polygons,fjordcrest,Geomorphic Units fjordcrest,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_fjorddepression,eco_coarse_geomorphicunits_polygons_d_fjorddepression,3030200,eco,coarse,geomorphicunits,polygons,fjorddepression,Geomorphic Units fjorddepression,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_fjorddepressionfloor,eco_coarse_geomorphicunits_polygons_d_fjorddepressionfloor,3030300,eco,coarse,geomorphicunits,polygons,fjorddepressionfloor,Geomorphic Units fjorddepressionfloor,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_fjordmound,eco_coarse_geomorphicunits_polygons_d_fjordmound,3030400,eco,coarse,geomorphicunits,polygons,fjordmound,Geomorphic Units fjordmound,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_fjordwallsteep,eco_coarse_geomorphicunits_polygons_d_fjordwallsteep,3030500,eco,coarse,geomorphicunits,polygons,fjordwallsteep,Geomorphic Units fjordwallsteep,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_shelfcrest,eco_coarse_geomorphicunits_polygons_d_shelfcrest,3030600,eco,coarse,geomorphicunits,polygons,shelfcrest,Geomorphic Units shelfcrest,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_shelfdepression,eco_coarse_geomorphicunits_polygons_d_shelfdepression,3030700,eco,coarse,geomorphicunits,polygons,shelfdepression,Geomorphic Units shelfdepression,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_shelfdepressionfloor,eco_coarse_geomorphicunits_polygons_d_shelfdepressionfloor,3030800,eco,coarse,geomorphicunits,polygons,shelfdepressionfloor,Geomorphic Units shelfdepressionfloor,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_shelfmound,eco_coarse_geomorphicunits_polygons_d_shelfmound,3030900,eco,coarse,geomorphicunits,polygons,shelfmound,Geomorphic Units shelfmound,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_shelfwallsloping,eco_coarse_geomorphicunits_polygons_d_shelfwallsloping,3031000,eco,coarse,geomorphicunits,polygons,shelfwallsloping,Geomorphic Units shelfwallsloping,10,20,30,,,Geomorphic Units,no
eco_coarse_geomorphicunits_polygons_d_slopecanyonfloor,eco_coarse_geomorphicunits_polygons_d_slopecanyonfloor,3031100,eco,coarse,geomorphicunits,polygons,slopecanyonfloor,Geomorphic Units slopecanyonfloor,10,20,30,,,Geomorphic Units,no
